/run/media/levan/SDXC/NSU/MyLabs/OS/lab3/task3/build master* ⇡
❯ sudo ./prog
=== PID: 17952 ===
0x7f50e2a33000 | RAM  | PFN: 0x01124a8 | Физический: 0x0001124a8000 | [DIRTY]
0x7f50e2a34000 | RAM  | PFN: 0x01124ad | Физический: 0x0001124ad000 | [DIRTY]
0x7f50e2a35000 | RAM  | PFN: 0x01124ae | Физический: 0x0001124ae000 | [DIRTY]
0x7f50e2a36000 | RAM  | PFN: 0x01124af | Физический: 0x0001124af000 | [DIRTY]
0x7f50e2a37000 | RAM  | PFN: 0x01124b0 | Физический: 0x0001124b0000 | [DIRTY]
0x7f50e2a38000 | RAM  | PFN: 0x01124b1 | Физический: 0x0001124b1000 | [DIRTY]
0x7f50e2a39000 | RAM  | PFN: 0x01124b2 | Физический: 0x0001124b2000 | [DIRTY]
0x7f50e2a3a000 | RAM  | PFN: 0x01124b3 | Физический: 0x0001124b3000 | [DIRTY]
0x7f50e2a3b000 | RAM  | PFN: 0x01124b4 | Физический: 0x0001124b4000 | [DIRTY]
0x7f50e2a3c000 | RAM  | PFN: 0x010fc0a | Физический: 0x00010fc0a000 | [DIRTY]
0x7f50e2a3d000 | RAM  | PFN: 0x0111ad5 | Физический: 0x000111ad5000 | [DIRTY]
0x7f50e2a3e000 | RAM  | PFN: 0x010fc0e | Физический: 0x00010fc0e000 | [DIRTY]
0x7f50e2a3f000 | RAM  | PFN: 0x010fc0c | Физический: 0x00010fc0c000 | [DIRTY]
0x7f50e2a40000 | RAM  | PFN: 0x01124ac | Физический: 0x0001124ac000 | [DIRTY]
0x7f50e2a41000 | RAM  | PFN: 0x01124b6 | Физический: 0x0001124b6000 | [DIRTY]
0x7f50e2a42000 | RAM  | PFN: 0x010fc0f | Физический: 0x00010fc0f000 | [DIRTY]
0x7f50e2a43000 | RAM  | PFN: 0x010fc09 | Физический: 0x00010fc09000 | [DIRTY]
0x7f50e2a44000 | RAM  | PFN: 0x010fc08 | Физический: 0x00010fc08000 | [DIRTY]
0x7f50e2a45000 | RAM  | PFN: 0x0111ad1 | Физический: 0x000111ad1000 | [DIRTY]
0x7f50e2a46000 | RAM  | PFN: 0x0111ad2 | Физический: 0x000111ad2000 | [DIRTY]
0x7f50e2a47000 | RAM  | PFN: 0x01124ab | Физический: 0x0001124ab000 | [DIRTY]
